,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,pennsylvania,puerto-rico,rhode-island,south-carolina,south-dakota,tennessee,texas,utah,vermont,virginia,washington,west-virginia,wisconsin,wyoming
98,932,12,2519,330,3821,228,82,55,56,3227,954,5,19,111,612,426,283,217,206,122,44,260,185,301,379,0,424,25,193,234,14,462,88,803,1757,27,708,452,148,393,108,51,1008,60,408,3715,499,4,463,514,54,449,30
99,888,16,3246,721,3641,286,47,114,49,3846,1186,7,28,128,714,309,399,237,262,0,32,319,204,299,356,381,558,11,138,410,36,443,107,1167,1150,33,596,353,206,501,84,69,1100,50,1097,4969,590,9,555,498,42,343,29
100,928,21,3109,524,4403,162,159,70,32,4074,1947,22,15,135,654,316,415,189,179,1140,27,408,156,448,436,0,422,32,170,445,32,369,170,841,1773,25,521,332,178,384,268,59,1173,68,744,4690,648,3,650,323,52,425,6
101,661,11,2592,430,3622,190,40,96,36,3516,965,0,12,84,679,363,220,201,122,327,20,350,226,166,453,0,208,19,117,274,26,310,135,830,1321,37,526,480,187,306,62,35,922,73,406,3461,397,12,551,248,33,284,18
102,605,6,2196,535,5580,166,27,45,38,2944,1327,0,2,164,477,210,466,337,91,178,12,297,112,246,307,1265,174,23,37,330,14,335,129,708,802,25,728,219,146,685,39,31,1024,29,595,5647,447,4,471,622,17,266,33
103,1281,16,3593,610,6564,188,118,27,36,3306,1893,3,3,148,620,238,183,337,308,1512,21,404,140,240,242,611,618,3,202,462,13,608,144,664,835,7,575,296,191,616,121,59,927,27,626,5925,397,1,529,507,35,280,24
104,1145,14,1795,715,5013,262,14,42,34,5545,1842,1,17,243,737,269,251,370,226,884,24,330,193,358,294,526,577,23,230,365,27,187,152,719,1667,42,967,484,170,492,135,78,1304,67,1017,6806,488,20,520,616,41,433,28
105,1169,24,3056,704,5492,324,82,93,31,5035,1854,5,17,220,922,517,344,368,259,943,58,440,119,434,360,1092,618,37,168,497,40,385,202,919,1147,31,924,440,124,562,57,46,1143,61,841,6565,594,7,432,592,47,543,44
106,1167,18,3428,695,5671,317,66,37,26,8997,2055,16,16,283,883,487,556,356,247,1343,35,338,166,340,493,550,584,26,202,381,33,438,216,933,1695,28,1002,396,250,610,45,48,1333,57,1071,6194,681,7,624,431,61,509,42
107,1189,19,3593,584,4265,226,148,75,31,9644,2152,0,6,171,786,436,420,273,314,0,51,335,152,350,417,465,576,23,205,1099,46,303,211,811,1541,37,830,300,276,540,144,61,1629,93,976,6691,582,2,677,545,52,586,24
108,768,29,3857,521,5289,285,98,137,32,8583,2406,1,28,224,646,356,296,268,66,1491,37,327,309,267,516,361,360,11,92,821,30,327,190,769,1576,37,993,303,247,386,123,37,1402,56,264,4787,475,2,489,290,57,476,25
109,847,21,3079,450,6960,204,60,152,44,5298,2387,5,1,209,738,299,478,454,117,859,25,477,172,277,312,675,253,56,79,734,13,48,173,541,1537,44,755,229,144,681,61,16,1345,36,655,7312,568,6,453,694,30,327,33
110,1702,36,2228,533,7978,204,152,100,35,6131,2027,4,18,365,724,367,327,446,301,1069,33,305,95,505,442,680,882,48,204,562,22,587,165,508,1663,37,764,587,171,673,215,42,1782,49,1780,9073,557,0,598,497,36,605,37
111,1555,38,4877,431,7799,314,58,36,38,6603,3186,10,9,253,828,359,192,520,204,2093,38,359,83,361,413,653,863,49,190,645,20,302,129,769,1256,39,916,356,275,636,72,38,1544,63,1651,9207,503,2,416,708,49,564,27
112,1750,38,3333,900,9486,323,74,224,25,10171,3755,13,21,223,869,436,493,477,242,1418,31,505,167,589,494,870,943,67,251,632,20,441,244,1035,1855,42,831,429,363,839,71,73,1809,68,1429,8642,558,17,532,643,80,555,36
113,1752,45,4433,561,8558,260,71,195,45,9546,3011,0,30,401,937,530,709,341,303,1774,36,538,167,497,414,914,948,45,222,985,35,324,256,1134,2054,65,1597,528,342,715,75,60,1859,86,1917,8985,600,9,658,404,79,615,32
114,1232,49,2695,601,8396,254,0,73,12,11529,3056,0,25,376,862,519,223,319,0,0,22,380,223,406,0,990,632,39,151,857,0,220,287,863,1092,57,718,582,294,504,104,27,1882,51,1348,6276,681,2,716,496,55,721,24
115,639,27,3536,621,6057,199,0,134,35,10121,2376,0,25,363,639,578,627,367,0,1987,21,291,176,360,512,226,322,45,21,843,40,322,193,631,1329,37,713,284,300,383,129,32,1484,36,1460,5972,413,11,639,571,114,568,28
116,900,27,3352,450,6925,192,259,167,33,6375,1674,21,7,319,614,324,414,591,791,1129,7,272,126,326,433,357,338,37,70,491,17,440,251,583,1851,33,819,436,165,882,669,25,1557,43,1344,10305,521,2,354,1178,92,437,41
117,2695,18,3653,265,8674,407,57,123,54,7392,3683,2,43,487,587,296,241,566,374,1986,24,492,174,633,564,957,1173,78,218,876,18,500,220,642,1748,49,954,861,210,799,129,48,988,59,890,10941,568,3,638,479,110,582,36
118,2621,40,3520,753,8604,452,75,48,73,10050,3699,4,24,430,980,438,326,544,408,1937,16,465,158,651,456,674,1238,44,247,516,20,262,290,770,1028,73,1250,676,212,931,31,50,1582,80,2153,11840,727,2,635,635,157,617,29
119,2537,47,4057,827,7283,409,101,69,37,8990,3068,2,38,459,1018,514,578,460,332,1891,25,586,180,512,574,703,1346,95,256,603,21,354,234,809,2059,99,1114,605,371,717,117,65,1809,96,1648,13214,605,16,613,689,142,811,34
120,2373,50,4221,770,8825,666,78,123,64,11503,4849,1,29,500,1327,727,628,531,433,2710,16,463,183,622,604,1031,1205,127,225,1004,18,449,298,944,1866,84,1553,598,266,940,275,48,1754,66,1806,11740,873,5,943,750,129,815,16
121,2476,63,3038,1088,7920,400,0,93,58,10424,3450,0,44,577,1195,781,923,322,460,2223,21,557,168,685,804,797,1120,84,209,930,33,331,224,791,2467,89,1346,690,397,655,229,65,2315,54,1978,9678,637,6,851,355,174,950,49
122,1024,92,2537,516,7740,322,0,61,46,15394,2731,0,21,397,954,535,487,282,273,1352,15,642,202,406,710,868,647,81,161,845,30,258,255,831,1909,91,1398,458,319,565,288,33,1978,46,1179,7149,634,13,888,616,136,816,23
